"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Color","CCT (K)","Flux @ 85°C, Current - Test","Flux @ 25°C, Current - Test","Current - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","CRI (Color Rendering Index)","Current - Max","Viewing Angle","Mounting Type","Package / Case"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPE2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XPEBWT.jpg","XPEBWT-L1-0000-00FE1DKR-ND","XPEBWT-L1-0000-00FE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",8369,0,"Calculate",2000,1,"Digi-Reel®","XLamp® XP-E2","White, Cool","6500K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","70 (Typ)","1A","110°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic6/00087560_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/LCW-W5AM-JZKY-4U9X-Z.jpg","475-2888-2-ND","LCW W5AM-JZKY-4U9X-Z","OSRAM Opto Semiconductors Inc.","LED GOLDEN DRAGON WARM WHT 2SMD",5400,0,"1.16021",2000,200,"Tape & Reel (TR)","Golden DRAGON® Plus","White, Warm","2700K","-","79 lm (61 lm ~ 97 lm)","350mA","3.2V","71 lm/W","80 (Typ)","1A","170°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic6/00087560_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/LCW-W5AM-JZKY-4U9X-Z.jpg","475-2888-1-ND","LCW W5AM-JZKY-4U9X-Z","OSRAM Opto Semiconductors Inc.","LED GOLDEN DRAGON WARM WHT 2SMD",5402,0,"1.83770",2000,1,"Cut Tape (CT)","Golden DRAGON® Plus","White, Warm","2700K","-","79 lm (61 lm ~ 97 lm)","350mA","3.2V","71 lm/W","80 (Typ)","1A","170°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic6/00087560_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/LCW-W5AM-JZKY-4U9X-Z.jpg","475-2888-6-ND","LCW W5AM-JZKY-4U9X-Z","OSRAM Opto Semiconductors Inc.","LED GOLDEN DRAGON WARM WHT 2SMD",5402,0,"Calculate",2000,1,"Digi-Reel®","Golden DRAGON® Plus","White, Warm","2700K","-","79 lm (61 lm ~ 97 lm)","350mA","3.2V","71 lm/W","80 (Typ)","1A","170°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic6/00087560_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/LCW_W5AM-KXKY-4R9T-Z.JPG","475-2841-2-ND","LCW W5AM-KXKY-4R9T-Z","OSRAM Opto Semiconductors Inc.","LED GOLDEN DRAGON WARM WHT 2SMD",1600,0,"1.16021",2000,200,"Tape & Reel (TR)","Golden DRAGON® Plus","White, Warm","3000K","-","84 lm (71 lm ~ 97 lm)","350mA","3.2V","75 lm/W","80 (Typ)","1A","170°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic6/00087560_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/LCW_W5AM-KXKY-4R9T-Z.JPG","475-2841-1-ND","LCW W5AM-KXKY-4R9T-Z","OSRAM Opto Semiconductors Inc.","LED GOLDEN DRAGON WARM WHT 2SMD",1782,0,"1.83770",2000,1,"Cut Tape (CT)","Golden DRAGON® Plus","White, Warm","3000K","-","84 lm (71 lm ~ 97 lm)","350mA","3.2V","75 lm/W","80 (Typ)","1A","170°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic6/00087560_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/LCW_W5AM-KXKY-4R9T-Z.JPG","475-2841-6-ND","LCW W5AM-KXKY-4R9T-Z","OSRAM Opto Semiconductors Inc.","LED GOLDEN DRAGON WARM WHT 2SMD",1782,0,"Calculate",2000,1,"Digi-Reel®","Golden DRAGON® Plus","White, Warm","3000K","-","84 lm (71 lm ~ 97 lm)","350mA","3.2V","75 lm/W","80 (Typ)","1A","170°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPG2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XP-G2.jpg","XPGBWT-L1-R250-00F51TR-ND","XPGBWT-L1-R250-00F51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",6500,0,"1.49323",2000,250,"Tape & Reel (TR)","XLamp® XP-G2","White, Cool","6200K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","70 (Typ)","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPG2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XP-G2.jpg","XPGBWT-L1-R250-00F51CT-ND","XPGBWT-L1-R250-00F51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",6796,0,"1.90390",2000,1,"Cut Tape (CT)","XLamp® XP-G2","White, Cool","6200K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","70 (Typ)","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPG2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XP-G2.jpg","XPGBWT-L1-R250-00F51DKR-ND","XPGBWT-L1-R250-00F51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",6796,0,"Calculate",2000,1,"Digi-Reel®","XLamp® XP-G2","White, Cool","6200K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","70 (Typ)","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
